Kondisi,Waktu,Biaya
As Is,2301.6,38125500
As Is,1108.8,25890000
As Is,1814.4,32269500
As Is,2419.2,40690500
As Is,2032.8,43308000
As Is,924,30204000
As Is,873.6,21162000
As Is,1092,30237000
As Is,621.6,20901000
As Is,1444.8,37582500
As Is,1814.4,34711500
As Is,1545.6,28075500
As Is,1142.4,23650500
As Is,1848,37257000
As Is,1125.6,33507000
As Is,1024.8,22707000
As Is,1327.2,34539000
As Is,2469.6,41674500
As Is,1764,31975500
As Is,1411.2,27549000
As Is,2251.2,32730000
As Is,1243.2,25716000
As Is,1562.4,37786500
As Is,2200.8,48616500
As Is,1780.8,33442500
As Is,1243.2,32898000
As Is,1041.6,28762500
As Is,1512,35410500
As Is,1310.4,31269000
As Is,1008,24682500
As Is,2217.6,42537000
As Is,1108.8,21157500
As Is,1780.8,30148500
As Is,1965.6,29431500
As Is,1024.8,25098000
As Is,1646.4,35580000
As Is,1814.4,38979000
As Is,1293.6,26263500
As Is,1428,32011500
As Is,974.4,29637000
To Be,705.6,18088500
To Be,940.8,19666500
To Be,1092,24915000
To Be,1142.4,25416000
To Be,638.4,18096000
To Be,823.2,18982500
To Be,907.2,18960000
To Be,705.6,15649500
To Be,722.4,15841500
To Be,722.4,16113000
To Be,756,18078000
To Be,739.2,16173000
To Be,1192.8,25290000
To Be,436.8,11313000
To Be,1142.4,22465500
To Be,890.4,18690000
To Be,840,17892000
To Be,588,14629500
To Be,1058.4,15844500
To Be,890.4,21516000
To Be,1411.2,19650000
To Be,1058.4,24489000
To Be,638.4,17215500
To Be,655.2,18135000
To Be,1075.2,23094000
To Be,722.4,17056500
To Be,739.2,19374000
To Be,722.4,19410000
To Be,806.4,17341500
To Be,604.8,15165000
To Be,520.8,15061500
To Be,672,17908500
To Be,672,17244000
To Be,873.6,19212000
To Be,470.4,14667000
To Be,991.2,18942000
To Be,352.8,12627000
To Be,1142.4,31014000
To Be,840,19642500
To Be,722.4,14023500
